"id","expname","subject","ip","condnum","choice","submitted","round","event","roword","colord","evttype","boxname","boxin","boxtime","counter","addvar","adddata","relcount","maxcount","f_a1","f_a0","f_b0","f_b1","t_a1","t_a0","t_b0","t_b1"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","a1","30","911","1","null","null","0.071428571428571","14","1","0","0","0","911","0","0","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","a0","992","767","2","null","null","0.14285714285714","14","0","1","0","0","0","767","0","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b0","1759","383","3","null","null","0.21428571428571","14","0","0","1","0","0","0","383","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b1","2142","3399","4","null","null","0.28571428571429","14","0","0","0","1","0","0","0","3399"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","a1","5541","1050","5","null","null","0.35714285714286","14","1","0","0","0","1050","0","0","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","a0","6592","884","6","null","null","0.42857142857143","14","0","1","0","0","0","884","0","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b0","7476","1549","7","null","null","0.5","14","0","0","1","0","0","0","1549","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","a1","9092","834","8","null","null","0.57142857142857","14","1","0","0","0","834","0","0","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b1","9942","666","9","null","null","0.64285714285714","14","0","0","0","1","0","0","0","666"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","a0","10825","1801","10","null","null","0.71428571428571","14","0","1","0","0","0","1801","0","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b0","12626","733","11","null","null","0.78571428571429","14","0","0","1","0","0","0","733","0"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b1","13359","432","12","null","null","0.85714285714286","14","0","0","0","1","0","0","0","432"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b1","25042","183","13","null","null","0.92857142857143","14","0","0","0","1","0","0","0","183"
"1","exp_ml1","179","::1","1","","2019-03-25 16:43:00","1","mouseout","0_1","0_1","0_0","b1","25675","666","14","null","null","1","14","0","0","0","1","0","0","0","666"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","a0","883","450","1","null","null","0.090909090909091","11","0","1","0","0","0","450","0","0"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","a1","1334","449","2","null","null","0.18181818181818","11","1","0","0","0","449","0","0","0"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","b1","1816","384","3","null","null","0.27272727272727","11","0","0","0","1","0","0","0","384"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","b0","2200","634","4","null","null","0.36363636363636","11","0","0","1","0","0","0","634","0"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","a0","2849","669","5","null","null","0.45454545454545","11","0","1","0","0","0","669","0","0"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","b0","3518","282","6","null","null","0.54545454545455","11","0","0","1","0","0","0","282","0"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","b1","3816","234","7","null","null","0.63636363636364","11","0","0","0","1","0","0","0","234"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","b1","5050","399","8","null","null","0.72727272727273","11","0","0","0","1","0","0","0","399"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","a1","5466","500","9","null","null","0.81818181818182","11","1","0","0","0","500","0","0","0"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","b0","6433","633","10","null","null","0.90909090909091","11","0","0","1","0","0","0","633","0"
"2","exp_ml1","179","::1","1","","2019-03-25 16:43:38","2","mouseout","0_1","0_1","0_0","a0","7066","467","11","null","null","1","11","0","1","0","0","0","467","0","0"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","b1","630","400","1","null","null","0.125","8","0","0","0","1","0","0","0","400"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","a1","1047","600","2","null","null","0.25","8","1","0","0","0","600","0","0","0"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","a0","1647","750","3","null","null","0.375","8","0","1","0","0","0","750","0","0"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","b0","2397","3817","4","null","null","0.5","8","0","0","1","0","0","0","3817","0"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","a0","6230","682","5","null","null","0.625","8","0","1","0","0","0","682","0","0"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","a1","6929","884","6","null","null","0.75","8","1","0","0","0","884","0","0","0"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","a0","7813","984","7","null","null","0.875","8","0","1","0","0","0","984","0","0"
"3","exp_ml1","179","::1","1","","2019-03-25 16:44:13","3","mouseout","0_1","0_1","0_0","b1","8831","764","8","null","null","1","8","0","0","0","1","0","0","0","764"
"8","exp_ml1","181","::1","5","","2019-03-26 16:13:45","1","mouseout","0_1","0_1","0_0","a0","558","1117","1","null","null","0.25","4","0","1","0","0","0","1117","0","0"
"8","exp_ml1","181","::1","5","","2019-03-26 16:13:45","1","mouseout","0_1","0_1","0_0","a1","1675","515","2","null","null","0.5","4","1","0","0","0","515","0","0","0"
"8","exp_ml1","181","::1","5","","2019-03-26 16:13:45","1","mouseout","0_1","0_1","0_0","b1","2424","666","3","null","null","0.75","4","0","0","0","1","0","0","0","666"
"8","exp_ml1","181","::1","5","","2019-03-26 16:13:45","1","mouseout","0_1","0_1","0_0","b0","3091","800","4","null","null","1","4","0","0","1","0","0","0","800","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","a0","8094","608","1","null","null","0.076923076923077","13","0","1","0","0","0","608","0","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","a1","8703","382","2","null","null","0.15384615384615","13","1","0","0","0","382","0","0","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","b1","9085","318","3","null","null","0.23076923076923","13","0","0","0","1","0","0","0","318"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","b0","9405","1313","4","null","null","0.30769230769231","13","0","0","1","0","0","0","1313","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","b1","10719","282","5","null","null","0.38461538461538","13","0","0","0","1","0","0","0","282"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","a1","11002","582","6","null","null","0.46153846153846","13","1","0","0","0","582","0","0","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","a0","11602","649","7","null","null","0.53846153846154","13","0","1","0","0","0","649","0","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","b1","12285","682","8","null","null","0.61538461538462","13","0","0","0","1","0","0","0","682"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","b0","12968","1267","9","null","null","0.69230769230769","13","0","0","1","0","0","0","1267","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","b1","14484","951","10","null","null","0.76923076923077","13","0","0","0","1","0","0","0","951"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","a1","15435","616","11","null","null","0.84615384615385","13","1","0","0","0","616","0","0","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","a0","16052","583","12","null","null","0.92307692307692","13","0","1","0","0","0","583","0","0"
"9","exp_ml1","181","::1","5","","2019-03-26 16:14:58","2","mouseout","0_1","0_1","0_0","b0","16635","2800","13","null","null","1","13","0","0","1","0","0","0","2800","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a1","2141","1467","1","null","null","0.0625","16","1","0","0","0","1467","0","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a0","3609","450","2","null","null","0.125","16","0","1","0","0","0","450","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","b0","4075","1966","3","null","null","0.1875","16","0","0","1","0","0","0","1966","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","b1","6059","898","4","null","null","0.25","16","0","0","0","1","0","0","0","898"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a0","6957","617","5","null","null","0.3125","16","0","1","0","0","0","617","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a1","7575","9517","6","null","null","0.375","16","1","0","0","0","9517","0","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a0","17093","714","7","null","null","0.4375","16","0","1","0","0","0","714","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","b0","19341","1067","8","null","null","0.5","16","0","0","1","0","0","0","1067","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a0","20408","550","9","null","null","0.5625","16","0","1","0","0","0","550","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a1","20958","517","10","null","null","0.625","16","1","0","0","0","517","0","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","b1","21475","665","11","null","null","0.6875","16","0","0","0","1","0","0","0","665"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","b0","22142","2665","12","null","null","0.75","16","0","0","1","0","0","0","2665","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a0","24842","1950","13","null","null","0.8125","16","0","1","0","0","0","1950","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a1","26858","615","14","null","null","0.875","16","1","0","0","0","615","0","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","a0","31492","367","15","null","null","0.9375","16","0","1","0","0","0","367","0","0"
"10","exp_ml1","181","::1","5","","2019-03-26 16:15:58","3","mouseout","0_1","0_1","0_0","b0","31875","816","16","null","null","1","16","0","0","1","0","0","0","816","0"
"11","exp_ml1","181","::1","5","","2019-03-26 16:16:35","4","mouseout","0_1","0_1","0_0","b0","553","966","1","null","null","0.2","5","0","0","1","0","0","0","966","0"
"11","exp_ml1","181","::1","5","","2019-03-26 16:16:35","4","mouseout","0_1","0_1","0_0","a0","1519","651","2","null","null","0.4","5","0","1","0","0","0","651","0","0"
"11","exp_ml1","181","::1","5","","2019-03-26 16:16:35","4","mouseout","0_1","0_1","0_0","a1","2170","566","3","null","null","0.6","5","1","0","0","0","566","0","0","0"
"11","exp_ml1","181","::1","5","","2019-03-26 16:16:35","4","mouseout","0_1","0_1","0_0","b1","2737","1566","4","null","null","0.8","5","0","0","0","1","0","0","0","1566"
"11","exp_ml1","181","::1","5","","2019-03-26 16:16:35","4","mouseout","0_1","0_1","0_0","b0","4319","2183","5","null","null","1","5","0","0","1","0","0","0","2183","0"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","b0","954","483","1","null","null","0.125","8","0","0","1","0","0","0","483","0"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","a0","1453","533","2","null","null","0.25","8","0","1","0","0","0","533","0","0"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","a1","2003","551","3","null","null","0.375","8","1","0","0","0","551","0","0","0"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","b1","2554","483","4","null","null","0.5","8","0","0","0","1","0","0","0","483"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","b1","3169","501","5","null","null","0.625","8","0","0","0","1","0","0","0","501"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","a1","3687","615","6","null","null","0.75","8","1","0","0","0","615","0","0","0"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","a0","4303","566","7","null","null","0.875","8","0","1","0","0","0","566","0","0"
"12","exp_ml1","181","::1","5","","2019-03-26 16:17:14","5","mouseout","0_1","0_1","0_0","b0","4869","651","8","null","null","1","8","0","0","1","0","0","0","651","0"
"13","exp_ml1","181","::1","5","","2019-03-26 16:19:34","6","mouseout","0_1","0_1","0_0","b1","872","550","1","null","null","0.076923076923077","13","0","0","0","1","0","0","0","550"
"13","exp_ml1","181","::1","5","","2019-03-26 16:19:34","6","mouseout","0_1","0_1","0_0","a1","1423","534","2","null","null","0.15384615384615","13","1","0","0","0","534","0","0","0"
"13","exp_ml1","181","::1","5","","2019-03-26 16:19:34","6","mouseout","0_1","0_1","0_0","a0","1957","2365","3","null","null","0.23076923076923","13","0","1","0","0","0","2365","0","0"
"13","exp_ml1","181","::1","5","","2019-03-26 16:19:34","6","mouseout","0_1","0_1","0_0","b0","4323","1883","4","null","null","0.30769230769231","13","0","0","1","0","0","0","1883","0"
"13","exp_ml1","181","::1","5","","2019-03-26 16:19:34","6","mouseout","0_1","0_1","0_0","a0","97956","649","5","null","null","0.38461538461538","13","0","1","0","0","0","649","0","0"
"13","exp_ml1","181","::1","5","","2019-03-26 16:19:34","6","mouseout","0_1","0_1","0_0","a1","98606","467","6","null","null","0.46153846153846","13","1","0","0","0","467","0","0","0"
