id,tax_rate,income,audit_probability,fine_rate,honest_gain,ev_evasion,angle 
0,0.25,1200,0.1,0.5,900,1155,85 
1,0.25,1200,0.1,1,900,1140,80 
2,0.25,1200,0.2,0.5,900,1110,70 
3,0.25,1200,0.2,1,900,1080,60 
4,0.25,1200,0.3,0.5,900,1065,55 
5,0.25,1200,0.3,1,900,1020,40 
6,0.4,1200,0.1,0.5,720,1128,170 
7,0.4,1200,0.1,1,720,1104,160 
8,0.4,1200,0.2,0.5,720,1056,140 
9,0.4,1200,0.2,1,720,1008,120 
10,0.4,1200,0.3,0.5,720,984,110 
11,0.4,1200,0.3,1,720,912,80 
12,0.25,1400,0.1,0.5,1050,1348,85 
13,0.25,1400,0.1,1,1050,1330,80 
14,0.25,1400,0.2,0.5,1050,1295,70 
15,0.25,1400,0.2,1,1050,1260,60 
16,0.25,1400,0.3,0.5,1050,1243,55 
17,0.25,1400,0.3,1,1050,1190,40 
18,0.4,1400,0.1,0.5,840,1316,170 
19,0.4,1400,0.1,1,840,1288,160 
20,0.4,1400,0.2,0.5,840,1232,140 
21,0.4,1400,0.2,1,840,1176,120 
22,0.4,1400,0.3,0.5,840,1148,110 
23,0.4,1400,0.3,1,840,1064,80